('156-0', 'Che vuoi')
('175-4', 'Che vuoi')
('175-5', 'Che vuoi')
('175-6', 'Che vuoi')
('175-7', 'Che vuoi')
('175-8', 'Perfetto')
('175-9', 'Perfetto')
('175', 'Che vuoi')
('176-0', 'Che vuoi')
('176-1', 'Che vuoi')
('176-2', 'Che vuoi')
('176-3', 'Che vuoi')
('176-4', 'Che vuoi')
('176-5', 'Che vuoi')
('176-6', 'Che vuoi')
('176-7', 'Che vuoi')
('176-8', 'Che vuoi')
('176-9', 'Che vuoi')
('176', 'Che vuoi')
('177-0', 'Che vuoi')
('177-1', 'Che vuoi')
('177-2', 'Che vuoi')
('177-3', 'Che vuoi')
('177-4', 'Che vuoi')
('177-5', 'Che vuoi')
('177-6', 'Che vuoi')
('177-7', 'Che vuoi')
('177-8', 'Che vuoi')
('177-9', 'Che vuoi')
('177', 'Che vuoi')
('178-0', 'Che vuoi')
('178-1', 'Che vuoi')
('178-2', 'Che vuoi')
('178-3', 'Che vuoi')
('178-4', 'Che vuoi')
('178-5', 'Che vuoi')
('178-6', 'Che vuoi')
('178-7', 'Che vuoi')
('178-8', 'Che vuoi')
('178-9', 'Che vuoi')
('178', 'Che vuoi')
('179-0', 'Che vuoi')
('179-1', 'Che vuoi')
('179-2', 'Che vuoi')
('179-3', 'Che vuoi')
('179-4', 'Che vuoi')
('179-5', 'Che vuoi')
('179-6', 'Che vuoi')
('179-7', 'Che vuoi')
('179-8', 'Che vuoi')
('179-9', 'Che vuoi')
('179', 'Che vuoi')
('180-0', 'Perfetto')
('180-1', 'Perfetto')
('180-2', 'Perfetto')
('180-3', 'Perfetto')
('180-4', 'Perfetto')
('180-5', 'Perfetto')
('180-6', 'Perfetto')
('180-7', 'Perfetto')
('180-8', 'Perfetto')
('180-9', 'Perfetto')
('180', 'Perfetto')
('181-0', 'Che vuoi')
('181-1', 'Che vuoi')
('181-2', 'Che vuoi')
('181-3', 'Che vuoi')
('181-4', 'Che vuoi')
('181-5', 'Che vuoi')
('181-6', 'Che vuoi')
('181-7', 'Che vuoi')
('181-8', 'Che vuoi')
('181-9', 'Che vuoi')
('181', 'Che vuoi')
('182-0', 'Che vuoi')
('182-1', 'Che vuoi')
('182-2', 'Che vuoi')
('182-3', 'Che vuoi')
('182-4', 'Che vuoi')
('182-5', 'Che vuoi')
('182-6', 'Che vuoi')
('182-7', 'Che vuoi')
('182-8', 'Che vuoi')
('182-9', 'Che vuoi')
('182', 'Che vuoi')
('183-0', 'Che vuoi')
('183-1', 'Che vuoi')
('183-2', 'Che vuoi')
('183-3', 'Che vuoi')
('183-4', 'Che vuoi')
('183-5', 'Che vuoi')
('183-6', 'Che vuoi')
('183-7', 'Che vuoi')
('183-8', 'Che vuoi')
('183-9', 'Che vuoi')
('183', 'Perfetto')
('184-0', 'Che vuoi')
('184-1', 'Che vuoi')
('184-2', 'Che vuoi')
('184-3', 'Che vuoi')
('184-4', 'Che vuoi')
('184-5', 'Che vuoi')
('184-6', 'Che vuoi')
('184-7', 'Che vuoi')
('184-8', 'Che vuoi')
('184-9', 'Che vuoi')
('184', 'Che vuoi')
('185-0', 'Che vuoi')
('185-1', 'Che vuoi')
('185-2', 'Che vuoi')
('185-3', 'Che vuoi')
('185-4', 'Che vuoi')
('185-5', 'Che vuoi')
('185-6', 'Che vuoi')
('185-7', 'Che vuoi')
('185-8', 'Che vuoi')
('185-9', 'Che vuoi')
('185', 'Perfetto')
('186-0', 'Che vuoi')
('186-1', 'Che vuoi')
('186-2', 'Che vuoi')
('186-3', 'Che vuoi')
('186-4', 'Che vuoi')
('186-5', 'Che vuoi')
('186-6', 'Che vuoi')
('186-7', 'Che vuoi')
('186-8', 'Che vuoi')
('186-9', 'Che vuoi')
('186', 'Che vuoi')
('32-0', 'Che vuoi')
('32-1', 'Che vuoi')
('32-2', 'Che vuoi')
('32-3', 'Che vuoi')
('32-4', 'Che vuoi')
('32-5', 'Che vuoi')
('32-6', 'Che vuoi')
('32-7', 'Che vuoi')
('32-8', 'Che vuoi')
('32-9', 'Che vuoi')
('32', 'Che vuoi')
('33-0', 'Vieni Qui')
('33-1', 'Vieni Qui')
('33-2', 'Vieni Qui')
('33-3', 'Vieni Qui')
('33-4', 'Vieni Qui')
('33-5', 'Vieni Qui')
('33-6', 'Vieni Qui')
('33-7', 'Vieni Qui')
('33-8', 'Vieni Qui')
('33-9', 'Vieni Qui')
('33', 'Vieni Qui')
('34-0', 'Vieni Qui')
('34-1', 'Vieni Qui')
('34-2', 'Vieni Qui')
('34-3', 'Vieni Qui')
('34-4', 'Vieni Qui')
('34-5', 'Vieni Qui')
('34-6', 'Vieni Qui')
('34-7', 'Vieni Qui')
('34-8', 'Vieni Qui')
('34-9', 'Vieni Qui')
('34', 'Vieni Qui')
('35-0', 'Vieni Qui')
('35-1', 'Vieni Qui')
('35-2', 'Vieni Qui')
('35-3', 'Vieni Qui')
('35-4', 'Vieni Qui')
('35-5', 'Vieni Qui')
('35-6', 'Vieni Qui')
('35-7', 'Vieni Qui')
('35-8', 'Vieni Qui')
('35-9', 'Vieni Qui')
('35', 'Vieni Qui')
('36-0', 'Vieni Qui')
('36-1', 'Vieni Qui')
('36-2', 'Vieni Qui')
('36-3', 'Vieni Qui')
('36-4', 'Vieni Qui')
('36-5', 'Vieni Qui')
('36-6', 'Vieni Qui')
('36-7', 'Vieni Qui')
('36-8', 'Vieni Qui')
('36-9', 'Vieni Qui')
('36', 'Vieni Qui')
('37-0', 'Vieni Qui')
('37-1', 'Vieni Qui')
('37-2', 'Vieni Qui')
('37-3', 'Vieni Qui')
('37-4', 'Vieni Qui')
('37-5', 'Vieni Qui')
('37-6', 'Vieni Qui')
('37-7', 'Vieni Qui')
('37-8', 'Vieni Qui')
('37-9', 'Vieni Qui')
('37', 'Vieni Qui')
('38-0', 'Vieni Qui')
('38-1', 'Vieni Qui')
('38-2', 'Vieni Qui')
('38-3', 'Vieni Qui')
('38-4', 'Vieni Qui')
('38-5', 'Vieni Qui')
('38-6', 'Vieni Qui')
('38-7', 'Vieni Qui')
('38-8', 'Vieni Qui')
('38-9', 'Vieni Qui')
('38', 'Vieni Qui')
('39-0', 'Vieni Qui')
('39-1', 'Vieni Qui')
('39-2', 'Vieni Qui')
('39-3', 'Vieni Qui')
('39-4', 'Vieni Qui')
('39-5', 'Vieni Qui')
('39-6', 'Vieni Qui')
('39-7', 'Vieni Qui')
('39-8', 'Vieni Qui')
('39-9', 'Vieni Qui')
('39', 'Vieni Qui')
('40-0', 'Perfetto')
('40-1', 'Perfetto')
('40-2', 'Perfetto')
('40-3', 'Perfetto')
('40-4', 'Perfetto')
('40-5', 'Perfetto')
('40-6', 'Perfetto')
('40-7', 'Perfetto')
('40-8', 'Perfetto')
('40-9', 'Perfetto')
('40', 'Che vuoi')
('41-0', 'Che vuoi')
('41-1', 'Che vuoi')
('41-2', 'Che vuoi')
('41-3', 'Che vuoi')
('41-4', 'Che vuoi')
('41-5', 'Che vuoi')
('41-6', 'Che vuoi')
('41-7', 'Che vuoi')
('41-8', 'Che vuoi')
('41-9', 'Che vuoi')
('41', 'Che vuoi')
('42-0', 'Vieni Qui')
('42-1', 'Vieni Qui')
('42-2', 'Vieni Qui')
('42-3', 'Vieni Qui')
('42-4', 'Vieni Qui')
('42-5', 'Vieni Qui')
('42-6', 'Vieni Qui')
('42-7', 'Vieni Qui')
('42-8', 'Vieni Qui')
('42-9', 'Vieni Qui')
('42', 'Che vuoi')
('43-0', 'Vieni Qui')
('43-1', 'Vieni Qui')
('43-2', 'Vieni Qui')
('43-3', 'Vieni Qui')
('43-4', 'Vieni Qui')
('43-5', 'Vieni Qui')
('43-6', 'Vieni Qui')
('43-7', 'Vieni Qui')
('43-8', 'Vieni Qui')
('43-9', 'Vieni Qui')
('43', 'Vieni Qui')
('44-0', 'Perfetto')
('44-1', 'Vieni Qui')
('44-2', 'Vieni Qui')
('44-3', 'Perfetto')
('44-4', 'Vieni Qui')
('44-5', 'Vieni Qui')
('44-6', 'Vieni Qui')
('44-7', 'Perfetto')
('44-8', 'Perfetto')
('44-9', 'Vieni Qui')
('44', 'Vieni Qui')
('45-0', 'Vieni Qui')
('45-1', 'Perfetto')
('45-2', 'Vieni Qui')
('45-3', 'Vieni Qui')
('45-4', 'Vieni Qui')
('45-5', 'Vieni Qui')
('45-6', 'Perfetto')
('45-7', 'Vieni Qui')
('45-8', 'Vieni Qui')
('45-9', 'Vieni Qui')
('45', 'Che vuoi')
('46-0', 'Vieni Qui')
('46-1', 'Vieni Qui')
('46-2', 'Vieni Qui')
('46-3', 'Vieni Qui')
('46-4', 'Vieni Qui')
('46-5', 'Vieni Qui')
('46-6', 'Vieni Qui')
('46-7', 'Vieni Qui')
('46-8', 'Vieni Qui')
('46-9', 'Vieni Qui')
('46', 'Vieni Qui')
('47-0', 'Vieni Qui')
('47-1', 'Vieni Qui')
('47-2', 'Vieni Qui')
('47-3', 'Vieni Qui')
('47-4', 'Vieni Qui')
('47-5', 'Vieni Qui')
('47-6', 'Vieni Qui')
('47-7', 'Vieni Qui')
('47-8', 'Vieni Qui')
('47-9', 'Vieni Qui')
('47', 'Vieni Qui')
('48-0', 'Vieni Qui')
('48-1', 'Vieni Qui')
('48-2', 'Vieni Qui')
('48-3', 'Vieni Qui')
('48-4', 'Vieni Qui')
('48-5', 'Vieni Qui')
('48-6', 'Vieni Qui')
('48-7', 'Vieni Qui')
('48-8', 'Vieni Qui')
('48-9', 'Vieni Qui')
('48', 'Vieni Qui')
('49-0', 'Vieni Qui')
('49-1', 'Vieni Qui')
('49-2', 'Vieni Qui')
('49-3', 'Vieni Qui')
('49-4', 'Vieni Qui')
('49-5', 'Vieni Qui')
('49-6', 'Vieni Qui')
('49-7', 'Vieni Qui')
('49-8', 'Vieni Qui')
('49-9', 'Vieni Qui')
('49', 'Vieni Qui')
('50-0', 'Vieni Qui')
('50-1', 'Vieni Qui')
('50-2', 'Vieni Qui')
('50-3', 'Vieni Qui')
('50-4', 'Vieni Qui')
('50-5', 'Vieni Qui')
('50-6', 'Vieni Qui')
('50-7', 'Vieni Qui')
('50-8', 'Vieni Qui')
('50-9', 'Vieni Qui')
('50', 'Perfetto')
('51-0', 'Vieni Qui')
('51-1', 'Vieni Qui')
('51-2', 'Vieni Qui')
('51-3', 'Vieni Qui')
('51-4', 'Vieni Qui')
('51-5', 'Vieni Qui')
('51-6', 'Vieni Qui')
('51-7', 'Vieni Qui')
('51-8', 'Vieni Qui')
('51-9', 'Vieni Qui')
('51', 'Che vuoi')
('52-0', 'Vieni Qui')
('52-1', 'Vieni Qui')
('52-2', 'Che vuoi')
('52-3', 'Che vuoi')
('52-4', 'Vieni Qui')
('52-5', 'Che vuoi')
('52-6', 'Che vuoi')
('52-7', 'Vieni Qui')
('52-8', 'Vieni Qui')
('52-9', 'Vieni Qui')
('52', 'Che vuoi')
('53-0', 'Vieni Qui')
('53-1', 'Vieni Qui')
('53-2', 'Vieni Qui')
('53-3', 'Vieni Qui')
('53-4', 'Vieni Qui')
('53-5', 'Vieni Qui')
('53-6', 'Vieni Qui')
('53-7', 'Vieni Qui')
('53-8', 'Vieni Qui')
('53-9', 'Vieni Qui')
('53', 'Vieni Qui')
('54-0', 'Vieni Qui')
('54-1', 'Vieni Qui')
('54-2', 'Vieni Qui')
('54-3', 'Vieni Qui')
('54-4', 'Vieni Qui')
('54-5', 'Vieni Qui')
('54-6', 'Vieni Qui')
('54-7', 'Vieni Qui')
('54-8', 'Vieni Qui')
('54-9', 'Vieni Qui')
('54', 'Vieni Qui')
('55-0', 'Vieni Qui')
('55-1', 'Vieni Qui')
('55-2', 'Vieni Qui')
('55-3', 'Vieni Qui')
('55-4', 'Vieni Qui')
('55-5', 'Vieni Qui')
('55-6', 'Vieni Qui')
('55-7', 'Vieni Qui')
('55-8', 'Vieni Qui')
('55-9', 'Vieni Qui')
('55', 'Che vuoi')
('56-0', 'Vieni Qui')
('56-1', 'Vieni Qui')
('56-2', 'Vieni Qui')
('56-3', 'Vieni Qui')
('56-4', 'Vieni Qui')
('56-5', 'Vieni Qui')
('56-6', 'Vieni Qui')
('56-7', 'Vieni Qui')
('56-8', 'Vieni Qui')
('56-9', 'Vieni Qui')
('56', 'Perfetto')
('57-0', 'Vieni Qui')
('57-1', 'Vieni Qui')
('57-2', 'Vieni Qui')
('57-3', 'Vieni Qui')
('57-4', 'Vieni Qui')
('57-5', 'Vieni Qui')
('57-6', 'Vieni Qui')
('57-7', 'Vieni Qui')
('57-8', 'Vieni Qui')
('57-9', 'Vieni Qui')
('57', 'Vieni Qui')
('58-0', 'Vieni Qui')
('58-1', 'Vieni Qui')
('58-2', 'Vieni Qui')
('58-3', 'Vieni Qui')
('58-4', 'Vieni Qui')
('58-5', 'Vieni Qui')
('58-6', 'Vieni Qui')
('58-7', 'Vieni Qui')
('58-8', 'Vieni Qui')
('58-9', 'Vieni Qui')
('58', 'Vieni Qui')
('59-0', 'Vieni Qui')
('59-1', 'Vieni Qui')
('59-2', 'Vieni Qui')
('59-3', 'Vieni Qui')
('59-4', 'Vieni Qui')
('59-5', 'Vieni Qui')
('59-6', 'Vieni Qui')
('59-7', 'Vieni Qui')
('59-8', 'Vieni Qui')
('59-9', 'Vieni Qui')
('59', 'Che vuoi')
('60-0', 'Vieni Qui')
('60-1', 'Vieni Qui')
('60-2', 'Vieni Qui')
('60-3', 'Vieni Qui')
('60-4', 'Vieni Qui')
('60-5', 'Vieni Qui')
('60-6', 'Vieni Qui')
('60-7', 'Vieni Qui')
('60-8', 'Vieni Qui')
('60-9', 'Vieni Qui')
('60', 'Vieni Qui')
('61-0', 'Vieni Qui')
('61-1', 'Vieni Qui')
('61-2', 'Vieni Qui')
('61-3', 'Vieni Qui')
('61-4', 'Vieni Qui')
('61-5', 'Vieni Qui')
('61-6', 'Vieni Qui')
('61-7', 'Vieni Qui')
('61-8', 'Vieni Qui')
('61-9', 'Vieni Qui')
('61', 'Vieni Qui')
('62-0', 'Vieni Qui')
('62-1', 'Che vuoi')
('62-2', 'Vieni Qui')
('62-3', 'Vieni Qui')
('62-4', 'Vieni Qui')
('62-5', 'Vieni Qui')
('62-6', 'Vieni Qui')
('62-7', 'Vieni Qui')
('62-8', 'Vieni Qui')
('62-9', 'Vieni Qui')
('62', 'Vieni Qui')
('63-0', 'Perfetto')
('63-1', 'Che vuoi')
('63-2', 'Perfetto')
('63-3', 'Perfetto')
('63-4', 'Perfetto')
('63-5', 'Che vuoi')
('63-6', 'Perfetto')
('63-7', 'Perfetto')
('63-8', 'Perfetto')
('63-9', 'Perfetto')
('63', 'Perfetto')
('64-0', 'Che vuoi')
('64-1', 'Che vuoi')
('64-2', 'Che vuoi')
('64-3', 'Che vuoi')
('64-4', 'Che vuoi')
('64-5', 'Che vuoi')
('64-6', 'Che vuoi')
('64-7', 'Che vuoi')
('64-8', 'Che vuoi')
('64-9', 'Che vuoi')
('64', 'Perfetto')
('65-0', 'Vieni Qui')
('65-1', 'Vieni Qui')
('65-2', 'Vieni Qui')
('65-3', 'Vieni Qui')
('65-4', 'Vieni Qui')
('65-5', 'Vieni Qui')
('65-6', 'Vieni Qui')
('65-7', 'Vieni Qui')
('65-8', 'Vieni Qui')
('65-9', 'Vieni Qui')
('65', 'Perfetto')
('66-0', 'Vieni Qui')
('66-1', 'Vieni Qui')
('66-2', 'Vieni Qui')
('66-3', 'Vieni Qui')
('66-4', 'Vieni Qui')
('66-5', 'Vieni Qui')
('66-6', 'Vieni Qui')
('66-7', 'Vieni Qui')
('66-8', 'Vieni Qui')
('66-9', 'Vieni Qui')
('66', 'Perfetto')
('67-0', 'Perfetto')
('67-1', 'Perfetto')
('67-2', 'Perfetto')
('67-3', 'Perfetto')
('67-4', 'Perfetto')
('67-5', 'Perfetto')
('67-6', 'Perfetto')
('67-7', 'Perfetto')
('67-8', 'Perfetto')
('67-9', 'Perfetto')
('67', 'Vieni Qui')
('68-0', 'Perfetto')
('68-1', 'Perfetto')
('68-2', 'Perfetto')
('68-3', 'Perfetto')
('68-4', 'Perfetto')
('68-5', 'Perfetto')
('68-6', 'Perfetto')
('68-7', 'Perfetto')
('68-8', 'Perfetto')
('68-9', 'Perfetto')
('68', 'Perfetto')
('69-0', 'Perfetto')
('69-1', 'Perfetto')
('69-2', 'Perfetto')
('69-3', 'Perfetto')
('69-4', 'Perfetto')
('69-5', 'Perfetto')
('69-6', 'Perfetto')
('69-7', 'Perfetto')
('69-8', 'Perfetto')
('69-9', 'Perfetto')
('69', 'Perfetto')
('70-0', 'Perfetto')
('70-1', 'Perfetto')
('70-2', 'Perfetto')
('70-3', 'Perfetto')
('70-4', 'Perfetto')
('70-5', 'Perfetto')
('70-6', 'Perfetto')
('70-7', 'Perfetto')
('70-8', 'Perfetto')
('70-9', 'Perfetto')
('70', 'Perfetto')
('71-0', 'Che vuoi')
('71-1', 'Che vuoi')
('71-2', 'Che vuoi')
('71-3', 'Che vuoi')
('71-4', 'Che vuoi')
('71-5', 'Che vuoi')
('71-6', 'Che vuoi')
('71-7', 'Che vuoi')
('71-8', 'Che vuoi')
('71-9', 'Che vuoi')
('71', 'Che vuoi')
('72-0', 'Che vuoi')
('72-1', 'Che vuoi')
('72-2', 'Che vuoi')
('72-3', 'Perfetto')
('72-4', 'Perfetto')
('72-5', 'Che vuoi')
('72-6', 'Che vuoi')
('72-7', 'Che vuoi')
('72-8', 'Che vuoi')
('72-9', 'Che vuoi')
('72', 'Che vuoi')
('73-0', 'Vieni Qui')
('73-1', 'Vieni Qui')
('73-2', 'Vieni Qui')
('73-3', 'Vieni Qui')
('73-4', 'Vieni Qui')
('73-5', 'Vieni Qui')
('73-6', 'Vieni Qui')
('73-7', 'Vieni Qui')
('73-8', 'Vieni Qui')
('73-9', 'Vieni Qui')
('73', 'Perfetto')
('74-0', 'Perfetto')
('74-1', 'Perfetto')
('74-2', 'Perfetto')
('74-3', 'Perfetto')
('74-4', 'Perfetto')
('74-5', 'Perfetto')
('74-6', 'Perfetto')
('74-7', 'Perfetto')
('74-8', 'Perfetto')
('74-9', 'Perfetto')
('74', 'Perfetto')
('75-0', 'Perfetto')
('75-1', 'Perfetto')
('75-2', 'Perfetto')
('75-3', 'Perfetto')
('75-4', 'Perfetto')
('75-5', 'Perfetto')
('75-6', 'Perfetto')
('75-7', 'Perfetto')
('75-8', 'Perfetto')
('75-9', 'Perfetto')
('75', 'Perfetto')
('76-0', 'Perfetto')
('76-1', 'Che vuoi')
('76-2', 'Perfetto')
('76-3', 'Che vuoi')
('76-4', 'Perfetto')
('76-5', 'Perfetto')
('76-6', 'Perfetto')
('76-7', 'Perfetto')
('76-8', 'Perfetto')
('76-9', 'Perfetto')
('76', 'Che vuoi')
('77-0', 'Perfetto')
('77-1', 'Che vuoi')
('77-2', 'Perfetto')
('77-3', 'Perfetto')
('77-4', 'Che vuoi')
('77-5', 'Che vuoi')
('77-6', 'Perfetto')
('77-7', 'Perfetto')
('77-8', 'Perfetto')
('77-9', 'Che vuoi')
('77', 'Perfetto')
('78-0', 'Vieni Qui')
('78-1', 'Perfetto')
('78-2', 'Vieni Qui')
('78-3', 'Perfetto')
('78-4', 'Perfetto')
('78-5', 'Vieni Qui')
('78-6', 'Perfetto')
('78-7', 'Perfetto')
('78-8', 'Perfetto')
('78-9', 'Perfetto')
('78', 'Che vuoi')
('79-0', 'Perfetto')
('79-1', 'Perfetto')
('79-2', 'Perfetto')
('79-3', 'Perfetto')
('79-4', 'Perfetto')
('79-5', 'Perfetto')
('79-6', 'Perfetto')
('79-7', 'Perfetto')
('79-8', 'Perfetto')
('79-9', 'Perfetto')
('79', 'Perfetto')
('80-0', 'Perfetto')
('80-1', 'Perfetto')
('80-2', 'Perfetto')
('80-3', 'Perfetto')
('80-4', 'Perfetto')
('80-5', 'Perfetto')
('80-6', 'Perfetto')
('80-7', 'Perfetto')
('80-8', 'Perfetto')
('80-9', 'Perfetto')
('80', 'Perfetto')
('81-0', 'Perfetto')
('81-1', 'Perfetto')
('81-2', 'Perfetto')
('81-3', 'Perfetto')
('81-4', 'Perfetto')
('81-5', 'Perfetto')
('81-6', 'Perfetto')
('81-7', 'Perfetto')
('81-8', 'Perfetto')
('81-9', 'Perfetto')
('81', 'Che vuoi')
('82-0', 'Perfetto')
('82-1', 'Perfetto')
('82-2', 'Perfetto')
('82-3', 'Vieni Qui')
('82-4', 'Perfetto')
('82-5', 'Perfetto')
('82-6', 'Perfetto')
('82-7', 'Vieni Qui')
('82-8', 'Perfetto')
('82-9', 'Perfetto')
('82', 'Vieni Qui')
('83-0', 'Perfetto')
('83-1', 'Perfetto')
('83-2', 'Perfetto')
('83-3', 'Perfetto')
('83-4', 'Perfetto')
('83-5', 'Perfetto')
('83-6', 'Che vuoi')
('83-7', 'Perfetto')
('83-8', 'Perfetto')
('83-9', 'Perfetto')
('83', 'Perfetto')
('84-0', 'Perfetto')
('84-1', 'Perfetto')
('84-2', 'Perfetto')
('84-3', 'Perfetto')
('84-4', 'Perfetto')
('84-5', 'Perfetto')
('84-6', 'Perfetto')
('84-7', 'Perfetto')
('84-8', 'Perfetto')
('84-9', 'Perfetto')
('84', 'Perfetto')
('85-0', 'Perfetto')
('85-1', 'Perfetto')
('85-2', 'Perfetto')
('85-3', 'Perfetto')
('85-4', 'Perfetto')
('85-5', 'Perfetto')
('85-6', 'Perfetto')
('85-7', 'Perfetto')
('85-8', 'Perfetto')
('85-9', 'Perfetto')
('85', 'Che vuoi')
